A,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2011,2012,2013,2014,2015 - 1,2016 - 1,2017 - 1,2018 - 1,2019 - 1,2020 - 1,2021 - 1
Andaman & Nicobar Islands,181264,204420,253839,298977,347985,411965,434314,499389,563253,614960,,397843,442118,502263,547722,603173,683587,789041,900318,976500,,
Andhra Pradesh,13476688,14760642,17406428,21236071,23738349,27332661,31986394,36224493,41006812,46418355,52002992,37940203,41140371,46427201,52497564,60422862,68441587,78613542,87372111,96609905,101437379,120173552
Arunachal Pradesh,348751,375515,410799,481000,568732,747445,902144,1077478,1183601,1354546,1558805,1106269,1254662,1458107,1795941,1850916,1990212,2247478,2533487,3003397,3127309,
Assam,5339771,5938458,6469221,7107619,8107367,9597457,11268796,12590307,13840087,15946032,18379759,14317491,15686424,17774522,19572315,22795883,25438236,28316489,30933632,34685068,34017745,
Bihar,7778116,8249020,10073714,11367995,14227912,16292294,20355499,24326902,29361593,34366279,40228299,24714396,28236793,31710134,34295094,37160179,42105150,46874631,52797582,58251645,58715439,67544803
Chandigarh,850404,1018549,1227608,1366851,1533383,1757657,2001388,2282584,2504642,2907550,,1876816,2160856,2482172,2654856,2927507,3242666,3634435,4013887,4310079,3971409,
Chhattisgarh,4786229,5338110,6687489,8025511,9697218,9936426,11941976,14438220,16564120,18568248,21019179,15807382,17751133,20683318,22111811,22516299,26280175,28228344,31810113,34495535,35026983,
Delhi,10032452,11537425,13558365,15794718,18953312,21761858,25275279,28710688,33491471,39112480,45115365,34379750,39138764,44395989,49480302,55080370,61608506,67790004,73838943,79403005,78534162,92396657
Goa,1271331,1432661,1652284,1956496,2541383,2912554,3360536,4325451,4240747,4889731,,4236666,3812002,3592110,4781418,5505385,6297631,6935205,7185334,7503209,7570540,
Gujarat,20337300,24473600,28369300,32928500,36791200,43126200,52151888,59878552,65854041,76563781,,61560607,72449536,80762319,92177315,102900974,116715558,132909477,149215571,161714320,163678141,
Haryana,9579512,10888457,12873234,15159590,18252215,22360025,26062128,29868833,34135116,38891663,43531000,29753852,34703201,39926812,43714471,49550411,56142417,63883208,69818888,76204360,75850653,89567125
Himachal Pradesh,2407658,2712735,3027427,3396254,4148310,4818859,5745226,6495745,7371003,8258534,,7271983,8281979,9476416,10377232,11423941,12563364,13855109,14838327,15916170,15667506,17517331
Jammu & Kashmir,2730462,2991985,3323011,3709863,4231484,4838451,5807257,6818513,7691647,8756991,8792138,7825555,8713773,9561874,9836675,11716795,12484800,13970886,15985945,,,
Jharkhand,5975772,6090054,6693475,8394959,8779393,10062068,12728105,13561793,15165470,17277261,19751431,-,-,-,-,-,-,-,-,16413486,17020073,19511811
Karnataka,16674713,19590407,22723706,27062879,31031233,33755850,41070316,45521235,52267274,61460704,70213121,15091759,17472369,18856671,21852517,20661280,23624972,26981614,30569520,31030536,30071593,34317818
Kerala,11926400,13684176,15378488,17514108,20278279,23199867,26377330,31267716,34784078,39628246,,60600981,69541305,81666615,91392303,104516810,120760772,133324000,147649628,161545653,173099141,204937896
Madhya Pradesh,11292689,12427599,14457681,16147939,19727620,22755664,26339573,30515816,36127033,43472988,50800607,36404788,41231300,46504121,51256405,56199361,63488640,70158826,78828558,82437420,79957111,90199783
Maharashtra,41547969,48676562,58449766,68481658,75396915,85575051,104915008,117012126,132222235,151013214,168669475,31556159,38092480,43948344,47993904,54106751,64982281,72628392,83102388,93860213,97628148,116900388
Manipur,513336,571758,613722,678253,739936,825426,913719,1108358,1269665,1432369,,128036944,145962863,164964663,177913793,196622458,219818515,235278150,256789706,273455153,271168512,
Meghalaya,655933,726515,862518,973473,1161704,1270911,1458256,1719857,1900906,2192207,2533341,1291460,1374324,1618204,1812905,1953067,2129389,2578923,2738807,3129702,3411021,
Mizoram,268197,297115,328998,381551,457711,525985,638788,688975,836292,1029698,,1991775,2187202,2293824,2323453,2511736,2743862,2950830,3217582,3477040,3471870,3783011
Nagaland,583884,658768,725665,807495,943607,1052677,1175937,1385934,1567638,1774932,2009914,725869,836193,1029337,1350940,1513886,1719191,1938533,2191208,2112848,1802616,
Odisha,7772943,8509649,10183947,12927445,14849071,16294643,19752990,22058927,25122046,27297992,31081024,1217676,1412127,1661173,1840067,1952395,2172245,2439296,2652742,2971587,3042511,
Puducherry,575371,797723,833511,925143,1005005,1230437,1309160,1466146,1679534,2107703,2581935,23098708,26169960,29647538,31424995,32854950,39280367,44039532,49861126,53243203,53265168,64208668
Punjab,9683851,10863668,12712291,15224532,17403913,19749981,22620407,25637378,28511933,31755647,34982574,1681801,1887545,2187012,2257396,2661654,2957266,3212880,3638562,3672384,3568471,3748487
Rajasthan,12774565,14223614,17104273,19482214,23094932,26582485,33834843,41417889,47017838,51761454,57454860,26662827,29773382,33214694,35510182,39008744,42698810,47101361,51250969,53703105,53255526,58404225
Sikkim,173915,199290,216122,250609,322908,613276,741157,890664,1047260,1237669,,43483664,49355124,55103102,61564156,68148226,76058727,83252923,91167414,99905036,101332301,119613711
Tamil Nadu,21900322,25783345,31052573,35081864,40133605,47973342,58489626,66720168,74485915,85423816,97670288,1116510,1233842,1386190,1540672,1803394,2068719,2597082,2840243,3144100,3180007,3682497
Telangana,8994628,10833479,12697070,15245199,18938194,20350833,26389774,30562242,34708203,39175126,43059936,75148576,85482535,96853045,107267797,117650003,130263858,146505091,163020915,174314396,180823943,206543628
Tripura,890353,982602,1091423,1179707,1357264,1540270,1786773,1997391,2269707,2680959,,35943411,40159361,45158040,50584879,57790206,65832534,75005028,85742715,95028676,96180037,114811470
Uttar Pradesh,26084066,29317167,33631679,38302552,44468486,52339418,60028572,68549644,78039860,86274591,97629654,1920841,2166320,2559283,2953346,3593773,3947940,4371580,4982332,5415112,5441512,6477808
Uttarakhand,2478567,2996753,3679542,4585567,5602476,7073005,8396911,9785772,10824979,12289724,13872254,72405044,82239292,94035644,101178966,113780794,128870023,143992550,158218005,170027274,164856708,186322112
West Bengal,20865636,23024495,26168187,29948275,34194248,39888038,46095894,52831575,60331053,70656124,80086784,11532757,13161284,14907439,16143892,17716302,19512484,22022213,23032741,23698791,23466020,25383197
,,,,,,,,,,,,52048505,59146445,67684806,71808166,79729980,87252723,97469978,110228275,120782261,130101677,
